,url,autor,fecha,titulo,subtitulo,resumen,tags
37,https://www.pagina12.com.ar/529505-familiares-y-organizaciones-feministas-exigen-condena-a-el-s,No se pudo obtener el autor,2023-03-07,Familiares y organizaciones feministas exigen condena a El Salvador por el caso de Beatriz,La joven a la que el Estado le negó la interrupción del embarazo para salvar su vida,El próximo 22 y 23 de marzo será el juicio ante la CorteIDH contra el Estado de El Salvador por el caso de Beatriz,"['El Salvador', 'aborto legal', 'El Salvador', 'aborto legal']"
38,https://www.pagina12.com.ar/523155-asoma-el-holocausto-nuclear-detras-de-la-guerra-rusia-ucrani,No se pudo obtener el autor,2023-02-11,Asoma el holocausto nuclear detrás de la guerra Rusia - Ucrania,¿Adiós a Europa?,"El reconocido sociólogo portugués explica cómo el continente con más muertes en conflictos bélicos en los últimos cien años, se encamina hacia uno aún más fatal. Como en la década de 1930, la apología del fascismo se hace en nombre de la democracia y la apología de la guerra se hace en nombre de la paz.","['Conflicto Rusia Ucrania', 'Conflicto Rusia Ucrania']"
39,https://www.pagina12.com.ar/530459-imagine-dragons-mostro-su-collage-de-estilos-y-tecnologia-en,Por Yumber Vera Rojas,2023-03-10,Imagine Dragons mostró su collage de estilos y tecnología en el Campo de Polo,"Presentó su disco ""Mercury – Acts 1 & 2"" ante 50 mil personas","La banda de Las Vegas presentó un show sustentado por el repertorio de su último trabajo, que gira alrededor de la muerte y el duelo, pero a punta de luminosidad y pirotecnia.","['Imagine Dragons', 'Imagine Dragons']"
40,https://www.pagina12.com.ar/529911-un-nuevo-capitulo-de-lawfare-en-latinoamerica,No se pudo obtener el autor,2023-03-08,Un nuevo capítulo de Lawfare en Latinoamérica ,El juicio contra Marco Enríquez-Ominami: Embarrados,,"['Lawfare', 'Chile', 'Lawfare', 'Chile']"
41,https://www.pagina12.com.ar/autores/237906-melisa-molina,No se pudo obtener el autor,No se pudo obtener la fecha,Melisa Molina,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
42,https://www.pagina12.com.ar/530117-la-reaccion-ante-el-fallo-que-proscribe-a-cristina-kirchner,No se pudo obtener el autor,2023-03-10,🔴 En vivo. Cristina Kirchner habla en Río Negro en medio de repercusiones ante el fallo que la proscribe,"La presentación de la vicepresidenta en Viedma, minuto a minuto","La expresidenta brindará una conferencia titulada “¿Hegemonía o consenso? Ruptura del pacto democrático en una economía bimonetaria: inflación y FMI, crisis de deuda y fragmentación política”. Expectativa por su reaparición pública. Seguí en tiempo real todas las alternativas.","['Cristina Kirchner', 'Proscripción', 'Causa Vialidad', 'Cristina Kirchner', 'Proscripción', 'Causa Vialidad']"
43,https://www.pagina12.com.ar/suplementos/las12,No se pudo obtener el autor,No se pudo obtener la fecha,No se pudo obtener el título,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
44,https://www.pagina12.com.ar/530469-rio-negro-el-posible-punto-de-partida-de-cristina-kirchner-p,Por Melisa Molina,2023-03-10,"Río Negro, el posible punto de partida de Cristina Kirchner para una recorrida por el país",Una idea que tenía la vice antes del intento de magnicidio,"Después del acto de hoy, el kirchnerismo llevará adelante una demostración de fuerza en Avellaneda para pedirle a CFK que sea la candidata del espacio político. Luego, se espera que la titular del Senado pase unos días en El Calafate y se especula con viajes a otras provincias, un proyecto que tenía antes del ataque del 1 de septiembre.","['Cristina Kirchner', 'Cristina Kirchner']"
45,https://www.pagina12.com.ar/autores/84562-claudio-pombinho,No se pudo obtener el autor,No se pudo obtener la fecha,Claudio Pombinho,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
46,https://www.pagina12.com.ar/529900-que-nos-deja-la-historia-de-las-gemelas-argentinas-en-barcel,Por Marce Butierrez,2023-03-10,"Qué nos deja la historia de ""las gemelas argentinas en Barcelona""",Opinión ,"""El suicidio de Iván nos deja un mensaje a quienes sobrevivimos y alerta a la sociedad sobre el peligro de la transfobia y la xenofobia. Es inevitable que su muerte sea leída en clave política"", afirma la autora de este artículo, que recorre las tensiones y el tratamiento mediático que se le dio las últimas semanas a la historia que conocimos como ""la muerte de las gemelas argentinas en Barcelona"".","['Barcelona', 'Transfobia', 'xenofobia', 'bullying', 'Barcelona', 'Transfobia', 'xenofobia', 'bullying']"
